clip_id,label,source,baseline_pred,baseline_confidence,vlm_pred,vlm_confidence,evidence,bucket
hmdb51_IndianaJonesandTheTempleofDoom_sit_u_nm_np1_fr_med_0,sitting,hmdb51,standing,0.7563,sitting,0.55,"Frames 2-5 show the man's body descending in frame as the camera reveals more of his torso then face, ending seated at a table.",vlm_correct_baseline_wrong
hmdb51_Juno_sit_f_cm_np1_fr_med_4,sitting,hmdb51,standing,0.4526,sitting,0.94,Person starts standing beside the bench and progressively lowers until seated with clipboard in final frames.,vlm_correct_baseline_wrong
hmdb51_RomeEpisode1_sit_u_cm_np1_fr_goo_1,sitting,hmdb51,standing,0.558,sitting,0.92,"Man begins standing among seated senators and progressively lowers his hips onto the bench, ending seated in the final frames.",vlm_correct_baseline_wrong
hmdb51_SweeneyTodd_sit_u_cm_np1_fr_med_14,sitting,hmdb51,standing,0.3521,sitting,0.9,"Person walks to booth then lowers hips onto bench, ending seated at the table in final frames.",vlm_correct_baseline_wrong
hmdb51_ThePerfectScore_sit_u_cm_np1_fr_med_2,sitting,hmdb51,standing,0.6214,sitting,0.94,"Man starts upright placing a cup, bends forward through mid-frames, and ends seated in a chair in final frames.",vlm_correct_baseline_wrong
hmdb51_The_Departed_-_Part_2_sit_u_nm_np1_fr_goo_1,sitting,hmdb51,standing,0.8566,sitting,0.45,"Man at bar moves downward into frame, head lowering and settling as he takes a seat at the bar counter.",vlm_correct_baseline_wrong
hmdb51_likebeckam_sit_f_cm_np1_ba_med_35,sitting,hmdb51,standing,0.5959,sitting,0.9,"The woman starts standing beside the table and progressively lowers onto a chair, seated across from the man by the final frames.",vlm_correct_baseline_wrong
hmdb51_prelinger_LetsPlay1949_sit_u_cm_np1_le_med_9,sitting,hmdb51,standing,0.598,sitting,0.8,The woman starts standing beside the table and progressively lowers into a seated position at the table by the final frames.,vlm_correct_baseline_wrong
hmdb51_20060723sfjffangelina_stand_f_nm_np1_le_med_0,standing,hmdb51,falling,0.5486,standing,0.9,Person starts seated on ground against wall and progressively pushes up through a crouch to an upright posture by the final frames.,vlm_correct_baseline_wrong
hmdb51_20060723sfjffcomeback_stand_u_cm_np1_ba_med_1,standing,hmdb51,walking,0.5491,standing,0.72,"Person begins seated low at the mirror and progressively rises, appearing taller and upright in the final frames.",vlm_correct_baseline_wrong
hmdb51_20060723sfjffjewgotmail_stand_u_cm_np1_ri_med_0,standing,hmdb51,falling,0.7215,standing,0.8,"Person starts seated/reclined on bed and rises upright, moving away from bed toward the desk in later frames.",vlm_correct_baseline_wrong
hmdb51_BLACK_HAWK_DOWN_stand_f_nm_np1_ba_med_14,standing,hmdb51,walking,0.3978,standing,0.62,Soldier begins crouched/kneeling on the ground and progressively rises to an upright posture by the final frames.,vlm_correct_baseline_wrong
hmdb51_BLACK_HAWK_DOWN_stand_u_cm_np1_fr_med_35,standing,hmdb51,sitting,0.555,standing,0.85,Man seated at desk on phone in early frames rises progressively until fully upright with hips above the desk by the last frames.,vlm_correct_baseline_wrong
hmdb51_BeforeNightFalls_stand_f_nm_np1_fr_med_3,standing,hmdb51,sitting,0.661,standing,0.94,"Man begins seated on the sofa reading and progressively rises, ending upright on his feet by the final frames.",vlm_correct_baseline_wrong
hmdb51_CasinoRoyale_stand_u_nm_np1_fr_med_1,standing,hmdb51,sitting,0.7608,standing,0.82,"The man at the poker table starts seated and progressively rises, ending upright and towering over the table in the last frames.",vlm_correct_baseline_wrong
hmdb51_Crash_stand_u_cm_np1_le_med_8,standing,hmdb51,falling,0.6323,standing,0.72,"Man starts crouched low behind the bed and progressively rises, torso higher and upright by the final frames.",vlm_correct_baseline_wrong
hmdb51_Crash_stand_u_nm_np1_ri_med_23,standing,hmdb51,falling,0.5335,standing,0.55,"The man's head rises within the frame across the sequence, going from low/seated on a locker bench to upright facing the other man.",vlm_correct_baseline_wrong
hmdb51_FestivalofColors_stand_f_nm_np1_fr_med_0,standing,hmdb51,sitting,0.727,standing,0.7,"The man seated at left rises from the ground across frames 4-7, becoming upright and moving out of frame.",vlm_correct_baseline_wrong
hmdb51_Gossip1953256kb_stand_f_cm_np1_le_med_0,standing,hmdb51,sitting,0.5956,standing,0.88,Person begins seated low in frame and progressively rises to full upright height by the final frames.,vlm_correct_baseline_wrong
hmdb51_OldSchool_stand_u_cm_np1_ri_med_8,standing,hmdb51,walking,0.6585,standing,0.8,"Man starts seated inside the car and rises out of it, torso ascending to full upright by the last frames.",vlm_correct_baseline_wrong
hmdb51_Panic_in_the_Streets_stand_f_nm_np1_fr_med_8,standing,hmdb51,sitting,0.6103,standing,0.9,"Woman seated in wicker chair in early frames rises upright and moves away, chair empty by final frames.",vlm_correct_baseline_wrong
hmdb51_Prelinger_ActYourA1949_stand_f_cm_np1_fr_med_17,standing,hmdb51,falling,0.3657,standing,0.95,Woman begins seated on the grass and progressively rises to full upright height by the final frames.,vlm_correct_baseline_wrong
hmdb51_Prelinger_LetYours1940_stand_f_nm_np1_fr_med_4,standing,hmdb51,sitting,0.6181,standing,0.93,Woman begins seated reading in chair and rises to full upright stance by final frames.,vlm_correct_baseline_wrong
hmdb51_Shadow_of_a_Doubt_stand_u_cm_np1_fr_med_3,standing,hmdb51,sitting,0.6324,standing,0.85,"Girl starts crouched on the floor and progressively rises, ending upright holding a book—hips ascend across the sequence.",vlm_correct_baseline_wrong
hmdb51_THE_PROTECTOR_stand_f_nm_np1_le_med_62,standing,hmdb51,falling,0.7892,standing,0.6,The right-hand person begins lying/seated in the water and progressively rises to a crouch and then fully upright by the final frames.,vlm_correct_baseline_wrong
hmdb51_TheBoondockSaints_stand_u_nm_np1_le_med_102,standing,hmdb51,falling,0.7205,standing,0.7,"Person starts bent over low and progressively rises so the torso moves upward out of frame, ending upright.",vlm_correct_baseline_wrong
hmdb51_MeettheParents_walk_u_cm_np1_fr_med_8,walking,hmdb51,standing,0.5267,walking,0.8,"Foreground man stays upright while background recedes and shifts, indicating he is moving forward through the room.",vlm_correct_baseline_wrong
hmdb51_TheBoondockSaints_walk_u_cm_np1_fr_med_98,walking,hmdb51,standing,0.5865,walking,0.88,"The man in the grey jacket grows larger and moves toward the camera across frames while remaining upright, indicating forward travel on foot.",vlm_correct_baseline_wrong
hmdb51_TheBoondockSaints_walk_u_cm_np1_ri_med_26,walking,hmdb51,standing,0.8234,walking,0.72,"Woman remains upright while her position shifts rightward/toward camera across frames, no vertical transition.",vlm_correct_baseline_wrong
hmdb51_The_House_on_Haunted_Hill_walk_u_cm_np1_ri_med_4,walking,hmdb51,standing,0.4151,walking,0.7,"Woman's position shifts laterally across frames while torso remains upright, background sliding by as she moves forward.",vlm_correct_baseline_wrong
hmdb51_TrumanShow_walk_f_cm_np1_fr_med_24,walking,hmdb51,standing,0.4119,walking,0.93,Man remains upright while his position shifts across the domed room toward the camera/left over the sequence.,vlm_correct_baseline_wrong
hmdb51_Two_Towers_7_walk_f_cm_np1_fr_med_2,walking,hmdb51,falling,0.3252,walking,0.9,The figure remains upright and travels forward through the forest toward the camera across frames.,vlm_correct_baseline_wrong
